 Mon, 05 Feb 2018 16:15:44  INFO test_investment.py test_invest_no100 [ line:61 ] 测试用例：投资异常用例-投资金额不是100的整数倍。
 Mon, 05 Feb 2018 16:16:45  INFO test_investment.py test_investment_normal [ line:31 ] 测试用例：投资成功-从首页进入标页面，在标详情页面进行投资
 Mon, 05 Feb 2018 16:18:02  INFO test_login.py setUp [ line:16 ] ========start test login=========
 Mon, 05 Feb 2018 16:18:08  INFO test_login.py test_login_noPasswd [ line:45 ] 测试用例：异常用例 - 密码为空
 Mon, 05 Feb 2018 16:18:11  INFO test_login.py tearDown [ line:22 ] ========end test login=========
 Mon, 05 Feb 2018 16:18:14  INFO test_login.py setUp [ line:16 ] ========start test login=========
 Mon, 05 Feb 2018 16:18:21  INFO test_login.py test_login_noUsername [ line:37 ] 测试用例：异常用例 - 用户名为空
 Mon, 05 Feb 2018 16:18:23  INFO test_login.py tearDown [ line:22 ] ========end test login=========
 Mon, 05 Feb 2018 16:18:29  INFO test_login.py setUp [ line:16 ] ========start test login=========
 Mon, 05 Feb 2018 16:18:35  INFO test_login.py test_login_ok [ line:28 ] 测试用例：正常登陆前程贷。
 Mon, 05 Feb 2018 16:19:00  INFO test_login.py tearDown [ line:22 ] ========end test login=========
